kode,nama,ukuran,satuan,isi,hpp,harga_jual
DPPKPTLP02,PLASTIK KRESEK HD TULIP PUTIH,HD 40,Pcs,,666.666666666667,790.0
DPPKPTLP03,PLASTIK KRESEK HD TULIP PUTIH,HD 50,Pcs,,1264.15094339623,1400.0
PTPPPPKNG0510,PLASTIK POLYMAILER KUNING 05 MICRON,40 x 50,pcs,100,0,1150.0
KTPOPP32MC1525,PLASTIK OPP 05 30 MICRON,15 X 25,Pcs,100,92.0,175.0
KTPOPP32MC1825,PLASTIK OPP 05 30 MICRON,18 X 25,PCS,100,120.0,200.0
KTPOPP32MC2030,PLASTIK OPP 05 30 MICRON,20 X 30,PCS,100,138.0,230.0
KTPOPP32MC25x35,PLASTIK OPP 05 30 MICRON,25 X 35,Pcs,100,270.0,320.0
KTPOPP32MC3040,PLASTIK OPP 05 30 MICRON,30 X 40,PCS,100,260.0,370.0
KTPOPP402MC3041,PLASTIK OPP 08 40 MICRON,30 x 40,Pcs,,471.0,550.0
DPOPP04MC102501,PLASTIK OPP 04 MICRON,10 X 25,Pcs,,60.0,119.0
DPOPP04MC132502,PLASTIK OPP 04 MICRON,13 X 25,Pcs,,68.0,128.0
DPOPP04MC152503,PLASTIK OPP 04 MICRON,15 X 25,Pcs,,75.0,138.0
DPOPP04MC182504,PLASTIK OPP 04 MICRON,18 X 25,Pcs,,80.0,167.0
DPOPP04MC203005,PLASTIK OPP 04 MICRON,20 X 30,Pcs,,90.0,190.0
DPOPP04MC233506,PLASTIK OPP 04 MICRON,23 X 35,Pcs,,100.0,229.0
DPOPP04MC253507,PLASTIK OPP 04 MICRON,25 X 35,Pcs,,120.0,236.0
DPOPP04MC283508,PLASTIK OPP 04 MICRON,28 X 35,Pcs,,150.0,262.0
DPOPP04MC303709,PLASTIK OPP 04 MICRON,30 X 37.5,Pcs,,165.0,288.0
DPOPP04MC354010,PLASTIK OPP 04 MICRON,35 X  40,Pcs,,190.0,333.0
PTPPPPRBW05111,PLASTIK POLYMAILER WARNA 05 MICRON,40 X 50,Pcs,,0,1150.0
SLANM020501,SLIP LABEL ANQUELLA MERAH,2 X 5,Pcs,,0,2600.0
KTPOPP32MCSN1525,PLASTIK OPP 05 30 MICRON + SABLON SF,15 X 25,Pcs,,175.0,280.0
THSF01223301,TALI HANGTAG,PUTIH,Pack,,30000.0,39000.0
KTPOPP32MCSB1825,PLASTIK OPP 05 30 MICRON + SABLON SF,18 X 25,Pcs,,295.0,300.0
DPSBLNSNT354001,PLASTIK OPP + SABLON,35 X 40 + 3,Pcs,,875.0,1000.0
TTEJY30401001,TOTEBAG HIJACKET,30 X 40 X 10,Pcs,,2650.0,2900.0
PISPS20235O1,PLASTIK POLYMAILER PINK STABILO,20 X 35 + 5,Pcs,100,370.0,450.0
PISPS20235O2,PLASTIK POLYMAILER PINK STABILO,25 X 35 + 5,Pcs,100,500.0,620.0
PISPS20235O3,PLASTIK POLYMAILER PINK STABILO,30 X 40 + 5,Pcs,100,720.0,850.0
PISPS20235O4,PLASTIK POLYMAILER PINK STABILO,17 X 28 + 1,Pcs,100,220.0,310.0
HSF01223301,HANGTAG PUTIH M & L,5 x 5,Pcs,100,31.0,39.0
KTPOPP32MC35,PLASTIK OPP 05 30 MICRON,35 x 50,Pcs,,0,425.0
BRLNOPP302535,PLASTIK OPP 05 30 MICRON,25 X 35,pcs,100,305.0,390.0
ANLSTN2X5,LABEL SATIN SABLON,2 X 5,DZ,1,200000.0,275000.0
ANLWVN2X5,LABEL WOVEN HITAM PUTIH,2 X 5,DZ,12,1500.0,1900.0
OLTLHTG20CM,TALI HANGTAG,20 CM,PACK,1000,31000.0,39000.0
KTPOPP32MC2030,PLASTIK OPP 05 30 MICRON,20 x 30,Pcs,1,138.0,250.0
JSJSBLNOPPK,JASA SABLON SHOPPING BAG TALI ROTAN,-,PCS,1,400.0,500.0
AJMHTGPTHSF,HANGTAG PUTIH M & L,5 CM,PCS,1,100.0,175.0
TKPKLLCL303001,PLASTIK SHOPPING + SABLON,30 X 30,PCS,,1280.0,1480.0
AJMHTGPTHSFL,HANGTAG PUTIH SF HIJAB,L,Pcs,,100.0,175.0
AJMHTGPTHSFM,HANGTAG PUTIH SF HIJAB,M,Pcs,,100.0,175.0
KTPOPP32MCSN2030,PLASTIK OPP 05 30 MICRON + SABLON,20 X 30,Pcs,,225.0,385.0
PPPFPE04M001,PLASTIK POLYMAILER PINK FUSCHIA 05 MICRON,25 X 40,PCS,,270.0,440.0
PPPFPE04M002,PLASTIK POLYMAILER PINK FUSCHIA 05 MICRON,30 X 40,PCS,,320.0,630.0
BTKPPS07303801,KLIP POND PUTIH,30 X 38 + 7,Pcs,,950.0,1250.0
BTKPPS07303802,KLIP POND PUTIH,35 X 40 + 7,Pcs,,1260.0,1500.0
BTKPPS07303803,KLIP POND PUTIH,42 x 60,Pcs,,0,0
PTPPPPPTH06010,PLASTIK POLYMAILER PUTIH 06 MICRON + SABLON,35 X 50 + 5,Pcs,100,1370.0,1900.0
CCHLDPMSP01,HENTEG LADY FEMMES,BABYPINK,PCS,,400.0,550.0
JSSPPBBIG01,JASA SABLON PLASTIK 1 SISI 1 WARNA POLY MAILER BESAR,-,Pcs,,350.0,600.0
KTPOPP32MCS2030,PLASTIK OPP 05 30 MICRON + SABLON,20 X 30,PCS,,300.0,400.0
PTPPPORGG0601,PLASTIK POLYMAILER ORANGE 06 MICRON,20 X 30 + 5,Pcs,,500.0,620.0
PISPS20235O1A,PLASTIK POLYMAILER ORANGE 06 MICRON,20 X 30 + 5,Pcs,100,370.0,450.0
ANLSTN2X5,LABEL SATIN SABLON,2 X 5,DZ,1,200000.0,275000.0
ANLWVN2X5,LABEL WOVEN HITAM PUTIH,2 X 5,DZ,12,1500.0,1900.0
OLTLHTG20CM,TALI HANG TAG,20 CM,PACK,1000,31000.0,39000.0
KTPOPP32MC2030,PLASTIK OPP 05 30 MICRON,20 x 30,Pcs,1,138.0,250.0
JSJSBLNOPPKK,JASA SABLON OPP,-,PCS,1,125.0,150.0
AJMHTGPTHSF,HANGTAG PUTIH M & L,5 CM,PCS,1,100.0,175.0
